,Unnamed: 0,Var1
0,0,Ramp_1_ahpTime_First
1,1,Ramp_1_ahp_First
2,2,Ramp_1_firstSpikeRate
3,3,Ramp_1_firstSpikeStimulusPower
4,4,Ramp_1_lastSpikeRate
5,5,Ramp_1_lastSpikeStimulusPower
6,6,Ramp_1_maxDeriv_First
7,7,Ramp_1_maxSpikeRate
8,8,Ramp_1_maxSpikeRateStimulusPower
9,9,Ramp_1_minDeriv_First
10,10,Ramp_1_numSpikes
11,11,Ramp_1_numSpikes_propZero
12,12,Ramp_1_numSpikes_spikingSources
13,13,Ramp_1_postMaxConcavity_First
14,14,Ramp_1_preMaxConcavity_First
15,15,Ramp_1_riseTime_First
16,16,Ramp_1_width_First
17,17,Ramp_2_ahpTime_First
18,18,Ramp_2_ahp_First
19,19,Ramp_2_firstSpikeRate
20,20,Ramp_2_firstSpikeStimulusPower
21,21,Ramp_2_lastSpikeRate
22,22,Ramp_2_lastSpikeStimulusPower
23,23,Ramp_2_maxDeriv_First
24,24,Ramp_2_maxSpikeRate
25,25,Ramp_2_maxSpikeRateStimulusPower
26,26,Ramp_2_minDeriv_First
27,27,Ramp_2_numSpikes
28,28,Ramp_2_numSpikes_propZero
29,29,Ramp_2_numSpikes_spikingSources
30,30,Ramp_2_postMaxConcavity_First
31,31,Ramp_2_preMaxConcavity_First
32,32,Ramp_2_riseTime_First
33,33,Ramp_2_width_First
34,34,Ramp_3_ahpTime_First
35,35,Ramp_3_ahp_First
36,36,Ramp_3_firstSpikeRate
37,37,Ramp_3_firstSpikeStimulusPower
38,38,Ramp_3_lastSpikeRate
39,39,Ramp_3_lastSpikeStimulusPower
40,40,Ramp_3_maxDeriv_First
41,41,Ramp_3_maxSpikeRate
42,42,Ramp_3_maxSpikeRateStimulusPower
43,43,Ramp_3_minDeriv_First
44,44,Ramp_3_numSpikes
45,45,Ramp_3_numSpikes_propZero
46,46,Ramp_3_numSpikes_spikingSources
47,47,Ramp_3_postMaxConcavity_First
48,48,Ramp_3_preMaxConcavity_First
49,49,Ramp_3_riseTime_First
50,50,Ramp_3_width_First
51,51,Ramp_AllStim_ahpTime_First
52,52,Ramp_AllStim_ahp_First
53,53,Ramp_AllStim_maxDeriv_First
54,54,Ramp_AllStim_minDeriv_First
55,55,Ramp_AllStim_postMaxConcavity_First
56,56,Ramp_AllStim_preMaxConcavity_First
57,57,Ramp_AllStim_riseTime_First
58,58,Ramp_AllStim_width_First
59,59,SC_1_ahp
60,60,SC_1_ahpTime
61,61,SC_1_propSingleSpiker
62,62,SC_1_realIsi
63,63,SC_1_frequency
64,64,SC_1_frequency_propZero
65,65,SC_1_frequency_spikingSources
66,66,SC_1_height
67,67,SC_1_maxDeriv
68,68,SC_1_minDeriv
69,69,SC_1_numSpikes
70,70,SC_1_numSpikes_propZero
71,71,SC_1_numSpikes_spikingSources
72,72,SC_1_postMaxConcavity
73,73,SC_1_preMaxConcavity
74,74,SC_1_riseTime
75,75,SC_1_width
76,76,SC_2_ahpTime_First
77,77,SC_2_ahp_First
78,78,SC_2_propSingleSpiker
79,79,SC_2_realIsi
80,80,SC_2_firstInstantaneousFrequency
81,81,SC_2_firstSpikeTime
82,82,SC_2_frequency
83,83,SC_2_frequency_propZero
84,84,SC_2_frequency_spikingSources
85,85,SC_2_lastSpikeTime
86,86,SC_2_maxDeriv_First
87,87,SC_2_minDeriv_First
88,88,SC_2_numSpikes
89,89,SC_2_numSpikes_propZero
90,90,SC_2_numSpikes_spikingSources
91,91,SC_2_phasicSpiking_propOne
92,92,SC_2_postMaxConcavity_First
93,93,SC_2_preMaxConcavity_First
94,94,SC_2_riseTime_First
95,95,SC_2_spikeFrequencyAdaptation
96,96,SC_2_spikeFrequencyAdaptation_propOne
97,97,SC_2_spikeFrequencyAdaptation_propMinusOne
98,98,SC_2_spikeFrequencyAdaptation_bulk
99,99,SC_2_width_First
100,100,SC_3_ahpTime_First
101,101,SC_3_ahp_First
102,102,SC_3_propSingleSpiker
103,103,SC_3_realIsi
104,104,SC_3_firstInstantaneousFrequency
105,105,SC_3_firstSpikeTime
106,106,SC_3_frequency
107,107,SC_3_frequency_propZero
108,108,SC_3_frequency_spikingSources
109,109,SC_3_lastSpikeTime
110,110,SC_3_maxDeriv_First
111,111,SC_3_minDeriv_First
112,112,SC_3_numSpikes
113,113,SC_3_numSpikes_propZero
114,114,SC_3_numSpikes_spikingSources
115,115,SC_3_phasicSpiking_propOne
116,116,SC_3_postMaxConcavity_First
117,117,SC_3_preMaxConcavity_First
118,118,SC_3_riseTime_First
119,119,SC_3_spikeFrequencyAdaptation
120,120,SC_3_spikeFrequencyAdaptation_propOne
121,121,SC_3_spikeFrequencyAdaptation_propMinusOne
122,122,SC_3_spikeFrequencyAdaptation_bulk
123,123,SC_3_width_First
124,124,SC_4_ahpTime_First
125,125,SC_4_ahp_First
126,126,SC_4_propSingleSpiker
127,127,SC_4_realIsi
128,128,SC_4_firstInstantaneousFrequency
129,129,SC_4_firstSpikeTime
130,130,SC_4_frequency
131,131,SC_4_frequency_propZero
132,132,SC_4_frequency_spikingSources
133,133,SC_4_lastSpikeTime
134,134,SC_4_maxDeriv_First
135,135,SC_4_minDeriv_First
136,136,SC_4_numSpikes
137,137,SC_4_numSpikes_propZero
138,138,SC_4_numSpikes_spikingSources
139,139,SC_4_phasicSpiking_propOne
140,140,SC_4_postMaxConcavity_First
141,141,SC_4_preMaxConcavity_First
142,142,SC_4_riseTime_First
143,143,SC_4_spikeFrequencyAdaptation
144,144,SC_4_spikeFrequencyAdaptation_propOne
145,145,SC_4_spikeFrequencyAdaptation_propMinusOne
146,146,SC_4_spikeFrequencyAdaptation_bulk
147,147,SC_4_width_First
148,148,SC_5_ahpTime_First
149,149,SC_5_ahp_First
150,150,SC_5_propSingleSpiker
151,151,SC_5_realIsi
152,152,SC_5_firstInstantaneousFrequency
153,153,SC_5_firstSpikeTime
154,154,SC_5_frequency
155,155,SC_5_frequency_propZero
156,156,SC_5_frequency_spikingSources
157,157,SC_5_lastSpikeTime
158,158,SC_5_maxDeriv_First
159,159,SC_5_minDeriv_First
160,160,SC_5_numSpikes
161,161,SC_5_numSpikes_propZero
162,162,SC_5_numSpikes_spikingSources
163,163,SC_5_phasicSpiking_propOne
164,164,SC_5_postMaxConcavity_First
165,165,SC_5_preMaxConcavity_First
166,166,SC_5_riseTime_First
167,167,SC_5_spikeFrequencyAdaptation
168,168,SC_5_spikeFrequencyAdaptation_propOne
169,169,SC_5_spikeFrequencyAdaptation_propMinusOne
170,170,SC_5_spikeFrequencyAdaptation_bulk
171,171,SC_5_width_First
172,172,SC_6_ahpTime_First
173,173,SC_6_ahp_First
174,174,SC_6_propSingleSpiker
175,175,SC_6_realIsi
176,176,SC_6_firstInstantaneousFrequency
177,177,SC_6_firstSpikeTime
178,178,SC_6_frequency
179,179,SC_6_frequency_propZero
180,180,SC_6_frequency_spikingSources
181,181,SC_6_lastSpikeTime
182,182,SC_6_maxDeriv_First
183,183,SC_6_minDeriv_First
184,184,SC_6_numSpikes
185,185,SC_6_numSpikes_propZero
186,186,SC_6_numSpikes_spikingSources
187,187,SC_6_phasicSpiking_propOne
188,188,SC_6_postMaxConcavity_First
189,189,SC_6_preMaxConcavity_First
190,190,SC_6_riseTime_First
191,191,SC_6_spikeFrequencyAdaptation
192,192,SC_6_spikeFrequencyAdaptation_propOne
193,193,SC_6_spikeFrequencyAdaptation_propMinusOne
194,194,SC_6_spikeFrequencyAdaptation_bulk
195,195,SC_6_width_First
196,196,SC_7_ahpTime_First
197,197,SC_7_ahp_First
198,198,SC_7_propSingleSpiker
199,199,SC_7_realIsi
200,200,SC_7_firstInstantaneousFrequency
201,201,SC_7_firstSpikeTime
202,202,SC_7_frequency
203,203,SC_7_frequency_propZero
204,204,SC_7_frequency_spikingSources
205,205,SC_7_lastSpikeTime
206,206,SC_7_maxDeriv_First
207,207,SC_7_minDeriv_First
208,208,SC_7_numSpikes
209,209,SC_7_numSpikes_propZero
210,210,SC_7_numSpikes_spikingSources
211,211,SC_7_phasicSpiking_propOne
212,212,SC_7_postMaxConcavity_First
213,213,SC_7_preMaxConcavity_First
214,214,SC_7_riseTime_First
215,215,SC_7_spikeFrequencyAdaptation
216,216,SC_7_spikeFrequencyAdaptation_propOne
217,217,SC_7_spikeFrequencyAdaptation_propMinusOne
218,218,SC_7_spikeFrequencyAdaptation_bulk
219,219,SC_7_width_First
220,220,SC_AllStim_ahpTime_First
221,221,SC_AllStim_ahp_First
222,222,SC_AllStim_maxDeriv_First
223,223,SC_AllStim_minDeriv_First
224,224,SC_AllStim_postMaxConcavity_First
225,225,SC_AllStim_preMaxConcavity_First
226,226,SC_AllStim_riseTime_First
227,227,SC_AllStim_width_First
228,228,area
229,229,brightness
230,230,somaArea
231,231,somaEccentricity
232,232,somaExtent
233,233,somaMajorAxisLength
234,234,somaMinorAxisLength
235,235,somaRadius
236,236,Ramp_Combined_RheobaseAverage
237,237,timeBinSC_02_period01_spikeRate
238,238,timeBinSC_02_period02_spikeRate
239,239,timeBinSC_02_period03_spikeRate
240,240,timeBinSC_02_period04_spikeRate
241,241,timeBinSC_02_period05_spikeRate
242,242,timeBinSC_03_period01_spikeRate
243,243,timeBinSC_03_period02_spikeRate
244,244,timeBinSC_03_period03_spikeRate
245,245,timeBinSC_03_period04_spikeRate
246,246,timeBinSC_03_period05_spikeRate
247,247,timeBinSC_04_period01_spikeRate
248,248,timeBinSC_04_period02_spikeRate
249,249,timeBinSC_04_period03_spikeRate
250,250,timeBinSC_04_period04_spikeRate
251,251,timeBinSC_04_period05_spikeRate
252,252,timeBinSC_05_period01_spikeRate
253,253,timeBinSC_05_period02_spikeRate
254,254,timeBinSC_05_period03_spikeRate
255,255,timeBinSC_05_period04_spikeRate
256,256,timeBinSC_05_period05_spikeRate
257,257,timeBinSC_06_period01_spikeRate
258,258,timeBinSC_06_period02_spikeRate
259,259,timeBinSC_06_period03_spikeRate
260,260,timeBinSC_06_period04_spikeRate
261,261,timeBinSC_06_period05_spikeRate
262,262,timeBinSC_07_period01_spikeRate
263,263,timeBinSC_07_period02_spikeRate
264,264,timeBinSC_07_period03_spikeRate
265,265,timeBinSC_07_period04_spikeRate
266,266,timeBinSC_07_period05_spikeRate
267,267,timeBinSC_02_avgFreq
268,268,timeBinSC_02_avgFreqInStim
269,269,timeBinSC_02_avgFreqAfterStim
270,270,timeBinSC_02_avgFreqPlateau
271,271,timeBinSC_02_adaptationPlateau
272,272,timeBinSC_03_avgFreq
273,273,timeBinSC_03_avgFreqInStim
274,274,timeBinSC_03_avgFreqAfterStim
275,275,timeBinSC_03_avgFreqPlateau
276,276,timeBinSC_03_adaptationPlateau
277,277,timeBinSC_04_avgFreq
278,278,timeBinSC_04_avgFreqInStim
279,279,timeBinSC_04_avgFreqAfterStim
280,280,timeBinSC_04_avgFreqPlateau
281,281,timeBinSC_04_adaptationPlateau
282,282,timeBinSC_05_avgFreq
283,283,timeBinSC_05_avgFreqInStim
284,284,timeBinSC_05_avgFreqAfterStim
285,285,timeBinSC_05_avgFreqPlateau
286,286,timeBinSC_05_adaptationPlateau
287,287,timeBinSC_06_avgFreq
288,288,timeBinSC_06_avgFreqInStim
289,289,timeBinSC_06_avgFreqAfterStim
290,290,timeBinSC_06_avgFreqPlateau
291,291,timeBinSC_06_adaptationPlateau
292,292,timeBinSC_07_avgFreq
293,293,timeBinSC_07_avgFreqInStim
294,294,timeBinSC_07_avgFreqAfterStim
295,295,timeBinSC_07_avgFreqPlateau
296,296,timeBinSC_07_adaptationPlateau
297,297,numSpikes
298,298,healthySources
